ID;band;status;word;Pos;COCA-All;COCA-Acad;ratio;disp;range;
7591;16;r;valuation;n;1 446;817;1.98;0.87;8;Fin
7728;16;r;lender;n;3 979;790;0.70;0.83;6;Fin
7840;16;r;franchise;n;6 809;771;0.40;0.85;7;Fin
8077;17;r;buying;n;3 065;730;0.83;0.87;8;Fin
8207;17;r;retiree;n;3 021;709;0.82;0.78;8;Fin
8213;17;r;selling;n;2 847;708;0.87;0.89;9;Fin
8553;18;r;long-distance;j;2 534;658;0.91;0.87;8;Fin
8592;18;r;salesman;n;4 450;653;0.51;0.88;9;Fin
8744;18;r;investing;j;1 431;630;1.54;0.79;7;Fin
8963;18;r;consulting;n;1 728;603;1.22;0.86;8;Fin
9016;19;r;profitability;n;1 293;598;1.62;0.89;9;Fin
9039;19;r;vice-president;n;1 202;595;1.73;0.87;9;Fin
9120;19;r;downturn;n;2 525;584;0.81;0.89;9;Fin
9130;19;r;coke;n;4 080;583;0.50;0.81;9;Fin
9234;19;r;merchandise;n;2 926;571;0.68;0.87;8;Fin
9271;19;r;volatility;n;1 268;568;1.57;0.84;7;Fin
9283;19;r;outperform;v;1 030;567;1.93;0.89;8;Fin
9429;19;r;stock;v;3 048;551;0.63;0.88;8;Fin
9567;20;r;brokerage;n;2 151;535;0.87;0.76;4;Fin
9635;20;r;co-founder;n;2 413;528;0.77;0.87;8;Fin
9646;20;r;annuity;n;1 075;527;1.72;0.72;3;Fin
9658;20;r;depot;n;2 991;526;0.62;0.82;7;Fin
9752;20;r;strategist;n;3 301;517;0.55;0.86;8;Fin
9767;20;r;cash;v;2 823;516;0.64;0.84;9;Fin
